period,reporterDesc,flowDesc,partnerDesc,isOriginalClassification,cmdCode,cmdDesc,qty,isAltQtyEstimated,netWgt,isNetWgtEstimated,cifvalue,fobvalue,primaryValue
2013,Viet Nam,Import,Philippines,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,2129,TRUE,20154,,20154
2013,Viet Nam,Import,Poland,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,13109,TRUE,187195,,187195
2013,Viet Nam,Import,Portugal,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,5192,TRUE,48934,,48934
2013,Viet Nam,Import,Russian Federation,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,2796,TRUE,39000,,39000
2013,Viet Nam,Import,India,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,284058,TRUE,5071931,,5071931
2013,Viet Nam,Import,Singapore,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,86538,TRUE,777282,,777282
2013,Viet Nam,Import,Slovakia,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,306,TRUE,5492,,5492
2013,Viet Nam,Import,Spain,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,200102,TRUE,3186922,,3186922
2013,Viet Nam,Import,Sweden,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,24746,TRUE,405068,,405068
2013,Viet Nam,Import,Switzerland,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,51898,TRUE,263101,,263101
2013,Viet Nam,Import,Thailand,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,36987519,TRUE,178860233,,178860233
2013,Viet Nam,Import,United Arab Emirates,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,19,TRUE,268,,268
2013,Viet Nam,Import,Türkiye,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,339743,TRUE,5691642,,5691642
2013,Viet Nam,Import,United Kingdom,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,31155,TRUE,299232,,299232
2013,Viet Nam,Import,USA,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,959896,TRUE,15674406,,15674406
2013,Viet Nam,Import,"Areas, nes",TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,118588,TRUE,1563248,,1563248
2013,Viet Nam,Import,Argentina,TRUE,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",,FALSE,238,TRUE,32612,,32612
2013,Viet Nam,Import,Australia,TRUE,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",,FALSE,,FALSE,381175,,381175
2013,Viet Nam,Import,Austria,TRUE,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",,FALSE,,FALSE,2075913,,2075913
2013,Viet Nam,Import,Belgium,TRUE,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",,FALSE,,FALSE,388087,,388087
2013,Viet Nam,Import,Brazil,TRUE,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",,FALSE,,FALSE,4164311,,4164311
2013,Viet Nam,Import,Bulgaria,TRUE,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",,FALSE,72,TRUE,19348,,19348
